    at Object.hmrRefresh (http://localhost:4200/_next/static/chunks/0aus_next_dist_client_02k4~6y._.js:11799:40)
    at http://localhost:4200/_next/static/chunks/0aus_next_dist_client_02k4~6y._.js:13967:64
    at startTransition (http://localhost:4200/_next/static/chunks/0aus_next_dist_compiled_0da0l5i._.js:1279:31)
    at processMessage (http://localhost:4200/_next/static/chunks/0aus_next_dist_client_02k4~6y._.js:13966:44)
    at WebSocket.handleMessage (http://localhost:4200/_next/static/chunks/0aus_next_dist_client_02k4~6y._.js:13335:52)
[  978165ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[  978187ms] [LOG] [Fast Refresh] done in 122ms @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[  978318ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[  978321ms] [LOG] [Fast Refresh] done in 103ms @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[  985619ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[  985696ms] [LOG] [Fast Refresh] done in 179ms @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 1075578ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 1075749ms] [LOG] [Fast Refresh] done in 271ms @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 1675018ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 1675615ms] [LOG] [Fast Refresh] done in 573ms @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 1675801ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 1676308ms] [LOG] [Fast Refresh] done in 609ms @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 1678117ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 1680199ms] [LOG] [Fast Refresh] done in 2183ms @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 1680400ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 1680729ms] [LOG] [Fast Refresh] done in 430ms @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 1696188ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 1696311ms] [LOG] [Fast Refresh] done in 224ms @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 2205798ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 2207375ms] [LOG] [Fast Refresh] done in 1594ms @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 2207872ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 2209027ms] [LOG] [Fast Refresh] done in 1256ms @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 2209221ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 2209433ms] [LOG] [Fast Refresh] done in 313ms @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
[ 2218286ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:4200/_next/static/chunks/0aus_next_dist_0dxyg_i._.js:2431
